event_id,start,end,duration_months,peak_month,peak_extent_pct,mean_extent_pct,magnitude_pp_months
1,2005-01-01,2005-02-01,2,2005-01-01,0.71449,0.503492,0.58505
2,2006-04-01,2006-07-01,4,2006-04-01,0.93834,0.428575,0.87043
3,2007-01-01,2007-01-01,1,2007-01-01,0.409982,0.409982,0.199015
4,2007-03-01,2007-05-01,3,2007-03-01,0.437742,0.315588,0.313864
5,2008-03-01,2008-06-01,4,2008-03-01,1.084288,0.470527,1.038239
6,2009-01-01,2009-04-01,4,2009-02-01,1.587771,0.66544,1.817893
7,2010-01-01,2010-04-01,4,2010-01-01,0.760124,0.436166,0.900794
8,2011-02-01,2011-07-01,6,2011-03-01,5.207203,1.36443,6.920776
9,2011-12-01,2011-12-01,1,2011-12-01,0.828413,0.828413,0.617446
10,2012-02-01,2012-04-01,3,2012-03-01,1.099423,0.57177,1.08241
11,2013-02-01,2013-04-01,3,2013-04-01,0.416001,0.330818,0.359554
12,2014-02-01,2014-03-01,2,2014-02-01,0.555057,0.416895,0.411855
13,2015-01-01,2015-02-01,2,2015-01-01,0.647653,0.467569,0.513205
14,2015-12-01,2016-03-01,4,2016-01-01,0.563844,0.419889,0.835687
15,2017-02-01,2017-04-01,3,2017-02-01,0.509045,0.351374,0.42122
16,2018-01-01,2018-07-01,7,2018-02-01,1.135252,0.438283,1.591211
17,2020-01-01,2020-03-01,3,2020-01-01,0.511639,0.322804,0.335512
18,2021-02-01,2021-06-01,5,2021-02-01,2.768776,0.78514,2.870863
19,2023-01-01,2023-04-01,4,2023-01-01,0.494049,0.380367,0.677601
20,2024-02-01,2024-06-01,5,2024-03-01,1.272886,0.580521,1.847772
21,2025-01-01,2025-04-01,4,2025-02-01,0.406736,0.340338,0.517483
